sku;titulo;image;media_gallery;small_image;thumbnail;status
CMBLG00077;Acdc Angus;+fotos_site_com_marca/053528.jpg;fotos_site_com_marca/053528.jpg;fotos_site_com_marca/small/053528.jpg;fotos_site_com_marca/thumb/053528.jpg;1
G_BL_ACDC_BACK_IN_BLACK;Acdc Back In Black;+fotos_site_com_marca/053024.jpg;fotos_site_com_marca/053024.jpg;fotos_site_com_marca/small/053024.jpg;fotos_site_com_marca/thumb/053024.jpg;1
CMBLG00005;Acdc Black Ice;+fotos_site_com_marca/052505.jpg;fotos_site_com_marca/052505.jpg;fotos_site_com_marca/small/052505.jpg;fotos_site_com_marca/thumb/052505.jpg;1
CMBLG00047;Acdc Canhao Branca;+fotos_site_com_marca/053204.jpg;fotos_site_com_marca/053204.jpg;fotos_site_com_marca/small/053204.jpg;fotos_site_com_marca/thumb/053204.jpg;1
CMBLG00035;Arctic Monkeys;+fotos_site_com_marca/053128.jpg;fotos_site_com_marca/053128.jpg;fotos_site_com_marca/small/053128.jpg;fotos_site_com_marca/thumb/053128.jpg;1
CMBLG00055;Asking;+fotos_site_com_marca/053220.jpg;fotos_site_com_marca/053220.jpg;fotos_site_com_marca/small/053220.jpg;fotos_site_com_marca/thumb/053220.jpg;1
CMBLG00084;Asking Mulher;+fotos_site_com_marca/058400.jpg;fotos_site_com_marca/058400.jpg;fotos_site_com_marca/small/058400.jpg;fotos_site_com_marca/thumb/058400.jpg;1
CMBLG00046;Avenged Nightmare;;;;;2
CMBLG00063;Avenged Nightmare Master;+fotos_site_com_marca/053236.jpg;fotos_site_com_marca/053236.jpg;fotos_site_com_marca/small/053236.jpg;fotos_site_com_marca/thumb/053236.jpg;1
G_BL_AVENGED_TRADICIONAL;Avenged Tradicional;+fotos_site_com_marca/053195.jpg;fotos_site_com_marca/053195.jpg;fotos_site_com_marca/small/053195.jpg;fotos_site_com_marca/thumb/053195.jpg;1
CMBLG00085;Baby Look;;;;;2
G_BL_BAZINGA;Bazinga;+fotos_site_com_marca/053064.jpg;fotos_site_com_marca/053064.jpg;fotos_site_com_marca/small/053064.jpg;fotos_site_com_marca/thumb/053064.jpg;1
CMBLG00068;Beatles Atravessando Road;+fotos_site_com_marca/053246.jpg;fotos_site_com_marca/053246.jpg;fotos_site_com_marca/small/053246.jpg;fotos_site_com_marca/thumb/053246.jpg;1
