sku,magmi:delete
CMBLG00077,1
CMBLG00014,1
CMBLGG00004,1
CMBLG00005,1
CMBLG00047,1
CMBLG00035,1
CMBLG00055,1
CMBLG00084,1
CMBLG00046,1
CMBLG00063,1
CMBLG00044,1
CMBLGG00013,1
CMBLG00085,1
CMBLG00020,1
CMBLGG00008,1
CMBLG00068,1
CMBLG00007,1
CMBLG00042,1
CMBLGG00011,1
CMBLG00018,1
CMBLGG00007,1
CMBLG00034,1
CMBLG00057,1
CMBLG00056,1
CMBLG00052,1
CMBLG00022,1
CMBLG00023,1
CMBLG00086,1
CMBLG00079,1
CMBLG00080,1
CMBLG00082,1
CMBLG00071,1
CMBLG00033,1
CMBLG00081,1
CMBLG00083,1
CMBLG00061,1
CMBLG00066,1
CMBLG00037,1
CMBLG00060,1
CMBLG00030,1
CMBLG00075,1
CMBLG00043,1
CMBLGG00012,1
CMBLG00073,1
CMBLG00010,1
CMBLG00002,1
CMBLG00001,1
CMBLG00078,1
CMBLGG00014,1
CMBLG00065,1
CMBLG00017,1
CMBLGG00010,1
CMBLG00039,1
CMBLG00059,1
CMBLG00049,1
CMBLG00013,1
CMBLGG00003,1
CMBLG00048,1
CMBLG00027,1
CMBLG00025,1
CMBLG00026,1
CMBLG00029,1
CMBLG00041,1
CMBLG00031,1
CMBLG00054,1
CMBLG00072,1
CMBLG00008,1
CMBLG00051,1
CMBLG00076,1
CMBLG00058,1
CMBLG00045,1
CMBLG00053,1
CMBLG00028,1
CMBLG00070,1
CMBLG00011,1
CMBLGG00001,1
CMBLG00040,1
CMBLG00019,1
CMBLGG00009,1
CMBLG00032,1
CMBLG00069,1
CMBLG00074,1
CMBLG00024,1
CMBLG00003,1
CMBLG00016,1
CMBLGG00006,1
CMBLG00006,1
CMBLG00015,1
CMBLGG00005,1
CMBLG00021,1
CMBLG00064,1
CMBLG00004,1
CMBLG00012,1
CMBLGG00002,1
CMBLG00036,1
CMBLG00009,1
CMBLG00062,1
CMBLG00067,1
CMBLG00038,1
CMBYGG00002,1
CMBYGG00012,1
CMBYGG00011,1
CMBYGG00001,1
CMBYGG00003,1
CMBYGG00007,1
CMBYGG00009,1
CMBYGG00004,1
CMBYGG00005,1
CMBYGG00006,1
CMBYGG00010,1
CMBYGG00008,1
CMCMP00216,1
CMCMM00288,1
CMCMG00290,1
CMCMGG00212,1
CMCMPP00008,1
CMCMP00228,1
CMCMM00308,1
CMCMG00311,1
CMCMGG00231,1
CMCMP00177,1
CMCMM00173,1
CMCMG00171,1
CMCMGG00135,1
CMCMXGG00014,1
CMCMP00179,1
CMCMM00175,1
CMCMG00173,1
CMCMGG00114,1
CMCMP00193,1
CMCMM00224,1
CMCMG00225,1
CMCMGG00159,1
CMCMXGG00006,1
CMCMP00197,1
CMCMM00240,1
CMCMG00241,1
CMCMG00242,1
CMCMGG00175,1
CMCMM00226,1
CMCMG00227,1
CMCMGG00161,1
CMCMP00130,1
CMCMM00128,1
CMCMG00125,1
CMCMGG00072,1
CMCMP00100,1
CMCMM00099,1
CMCMG00097,1
CMCMM00218,1
CMCMG00219,1
CMCMGG00153,1
CMCMM00208,1
CMCMG00209,1
CMCMGG00143,1
CMCMM00343,1
CMCMG00351,1
CMCMGG00270,1
CMCMP00165,1
CMCMM00162,1
CMCMG00159,1
CMCMGG00102,1
CMCMM00266,1
CMCMG00267,1
CMCMGG00198,1
CMCMM00249,1
