sku,attribute_set,type,product_websites,banda,color,country_of_manufacture,description,enable_googlecheckout,has_options,manufacturer,modelo,msrp_display_actual_price_type,msrp_enabled,name,options_container,price,reffornecedor,required_options,short_description,status,tamanho,tax_class_id,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,media_position,media_is_disabled,categories,configurable_attributes,simples_skus
CMBLG00077,Camisas,simple,base,AC/DC,,Brasil,"Acdc Angus",0,0,MR,"Baby Look","Utilizar configuração","Utilizar configuração","Acdc Angus","Bloco depois da Coluna de Informação",20,139,0,"Acdc Angus",1,G,0,4,250,6,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,"Camisas femininas::1::1::1/Baby Look::1::1::1",,
CMBLG00014,Camisas,simple,base,AC/DC,,Brasil,"Acdc Back In Black",0,0,AN,"Baby Look","No Carrinho","Utilizar configuração","Acdc Back In Black","Bloco depois da Coluna de Informação",20,10,0,"Acdc Back In Black",1,G,0,1,250,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,"Camisas femininas::1::1::1/Baby Look::1::1::1",,
CMBLGG00004,Camisas,simple,base,AC/DC,,Brasil,"Acdc Back In Black",0,0,AN,"Baby Look","No Carrinho","Utilizar configuração","Acdc Back In Black","Bloco depois da Coluna de Informação",20,10,0,"Acdc Back In Black",1,GG,0,1,250,26,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,"Camisas femininas::1::1::1/Baby Look::1::1::1",,
CMBLG00005,Camisas,simple,base,AC/DC,,Brasil,"Acdc Black Ice",0,0,VIRUS,"Baby Look","Utilizar configuração","Utilizar configuração","Acdc Black Ice","Bloco depois da Coluna de Informação",20,13,0,"Acdc Black Ice",1,G,0,4,250,4,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,"Camisas femininas::1::1::1/Baby Look::1::1::1",,
CMBLG00047,Camisas,simple,base,AC/DC,,Brasil,"Acdc Canhao Branca",0,0,VIRUS,"Baby Look","Utilizar configuração","Utilizar configuração","Acdc Canhao Branca","Bloco depois da Coluna de Informação",20,15,0,"Acdc Canhao Branca",1,G,0,4,250,12,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,"Camisas femininas::1::1::1/Baby Look::1::1::1",,
CMBLG00035,Camisas,simple,base,"Artic Monkeys",,Brasil,"Arctic Monkeys",0,0,EQ,"Baby Look","Utilizar configuração","Utilizar configuração","Arctic Monkeys","Bloco depois da Coluna de Informação",20,160,0,"Arctic Monkeys",1,G,0,4,250,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,"Camisas femininas::1::1::1/Baby Look::1::1::1",,
CMBLG00055,Camisas,simple,base,"Asking Alexandria",,Brasil,Asking,0,0,VIRUS,"Baby Look","Utilizar configuração","Utilizar configuração",Asking,"Bloco depois da Coluna de Informação",20,75,0,Asking,1,G,0,4,250,12,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,"Camisas femininas::1::1::1/Baby Look::1::1::1",,
CMBLG00084,Camisas,simple,base,"Asking Alexandria",,Brasil,"Asking Mulher",0,0,VIRUS,"Baby Look","Utilizar configuração","Utilizar configuração","Asking Mulher","Bloco depois da Coluna de Informação",20,260,0,"Asking Mulher",1,G,0,4,250,6,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,"Camisas femininas::1::1::1/Baby Look::1::1::1",,
CMBLG00046,Camisas,simple,base,"Avenged Sevenfold",,Brasil,"Avenged Nightmare",0,0,VIRUS,"Baby Look","Utilizar configuração","Utilizar configuração","Avenged Nightmare","Bloco depois da Coluna de Informação",20,39,0,"Avenged Nightmare",1,G,0,4,250,4,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,"Camisas femininas::1::1::1/Baby Look::1::1::1",,
CMBLG00063,Camisas,simple,base,"Avenged Sevenfold",,Brasil,"Avenged Nightmare Master",0,0,MR,"Baby Look","Utilizar configuração","Utilizar configuração","Avenged Nightmare Master","Bloco depois da Coluna de Informação",20,118,0,"Avenged Nightmare Master",1,G,0,4,250,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,"Camisas femininas::1::1::1/Baby Look::1::1::1",,
